timestamp,cpu_usage,memory_usage,disk_usage,network_latency_ms,error_count,response_time_ms,active_connections,system_state,failure_within_hour,failure_scenario,hour,day_of_week,is_weekend
2025-05-27 19:53:30.223889,4.0,28.15,46.73,10.0,4,292.73,51,normal,0,disk_full_critical,19,1,0
2025-05-27 19:58:30.223889,42.59,64.19,32.95,148.18,1,297.46,43,normal,0,"disk_full_critical,memory_leak_gradual",19,1,0
2025-05-27 20:03:30.223889,41.68,62.06,29.0,149.88,2,142.99,36,normal,0,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:08:30.223889,44.3,98.0,29.26,240.45,2,437.985,36,critical,1,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:13:30.223889,29.04,69.25,38.68,10.75,2,220.05,39,normal,0,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:18:30.223889,46.98,98.0,29.35,56.33,6,397.23,36,critical,1,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:23:30.223889,45.57,98.0,22.44,64.95,4,450.21,36,critical,1,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:28:30.223889,7.76,70.81,44.11,80.64,2,179.7,38,normal,0,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:33:30.223889,48.41,73.67,35.12,57.19,1,266.78,36,normal,0,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:38:30.223889,45.16,78.71,20.81,99.89,1,182.35,39,normal,0,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:43:30.223889,44.31,67.92,29.69,20.68,1,288.69,36,normal,0,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:48:30.223889,70.67,77.18,38.09,47.28,1,257.79,42,normal,0,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:53:30.223889,25.55,98.0,23.24,23.84,6,489.9,45,critical,1,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 20:58:30.223889,20.52,89.78,96.2,51.43,8,408.71,46,critical,1,"disk_full_critical,memory_leak_gradual",20,1,0
2025-05-27 21:03:30.223889,56.66,98.0,98.54,113.13,14,443.98,48,critical,1,"disk_full_critical,memory_leak_gradual",21,1,0
2025-05-27 21:08:30.223889,24.45,68.47,99.01,10.0,2,450.75,37,critical,0,"disk_full_critical,memory_leak_gradual",21,1,0
2025-05-27 21:13:30.223889,11.94,98.0,96.29,56.43,6,518.66,39,critical,1,"disk_full_critical,memory_leak_gradual",21,1,0
2025-05-27 21:18:30.223889,23.78,98.0,99.45,10.0,3,345.27,40,critical,1,"disk_full_critical,memory_leak_gradual",21,1,0
2025-05-27 21:23:30.223889,29.84,85.96,98.58,10.0,4,568.3,32,critical,1,"disk_full_critical,memory_leak_gradual",21,1,0
2025-05-27 21:28:30.223889,61.64,98.0,98.92,66.07,4,471.12,42,critical,1,"disk_full_critical,memory_leak_gradual",21,1,0
2025-05-27 21:33:30.223889,26.8,98.0,99.71,42.03,5,376.48,36,critical,1,"disk_full_critical,memory_leak_gradual",21,1,0
2025-05-27 21:38:30.223889,40.05,88.68,97.04,10.0,6,219.93,46,critical,1,"disk_full_critical,memory_leak_gradual",21,1,0
2025-05-27 21:43:30.223889,5.75,98.0,97.74,161.37,2,365.91,50,critical,1,"disk_full_critical,memory_leak_gradual",21,1,0
2025-05-27 21:48:30.223889,6.92,98.0,95.36,19.16,3,306.6,38,critical,1,"disk_full_critical,memory_leak_gradual",21,1,0
2025-05-27 21:53:30.223889,23.16,97.04,97.81,122.94,1,346.88,43,critical,1,"disk_full_critical,memory_leak_gradual",21,1,0
